Business Impact,Recommendation,Resource Group,Resource Name,Type
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,masterimage,w10master,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,w10_cad_vdi,w10-cad-0,Virtual machine
High,Machines should be configured to periodically check for missing system updates,w10_cad_vdi,w10-cad-0,Virtual machine
High,Role-Based Access Control should be used on Azure Keyvault Services (AKV),rg-avantdata-prod-ukwest-001,kv-avant-prod-ukw-001,Key vault
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazes01,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazdc01,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazdc02,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazlg01,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazes01,Virtual machine
High,Secure transfer to storage accounts should be enabled,avant-prod-rg,avantprodrgdiag,Storage Account
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avld5db001,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazbi001,Virtual machine
High,Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avlinux,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazlg01,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazdc01,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazex01,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazfs01,Virtual machine
High,Secure transfer to storage accounts should be enabled,avant-prod-rg,avanthomes,Storage Account
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazbi001,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazdc02,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazex01,Virtual machine
High,All network ports should be restricted on network security groups associated to your virtual machine,avant-prod-rg,avazprt002,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazprt002,Virtual machine
High,SQL servers should have an Azure Active Directory administrator provisioned,avant-prod-rg,avant1,SQL server
High,Microsoft Defender for SQL should be enabled for unprotected Azure SQL servers,avant-prod-rg,avant1,SQL server
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazca01,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avlinux,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazprt002,Virtual machine
High,Machines should be configured to periodically check for missing system updates,avant-prod-rg,avazca01,Virtual machine
High,Secure transfer to storage accounts should be enabled,avant-prod-rg,avantprodrgdiag220,Storage Account
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avazfs01,Virtual machine
High,Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.,avant-prod-rg,avld5db001,Virtual machine
High,All network ports should be restricted on network security groups associated to your virtual machine,avant-prod-rg,avlinux,Virtual machine
High,SQL servers should have vulnerability assessment configured,avant-prod-rg,avant1,SQL server
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-otm,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-enrichmessage,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-cdsfetchxml,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-transformerflow,App service
High,Key vaults should have soft delete enabled,esb-avantdynamics-dev-rg,avantdynamics-dev-akv,Key vault
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-upsertcrmflow,App service
High,Role-Based Access Control should be used on Azure Keyvault Services (AKV),esb-avantdynamics-dev-rg,avantdynamics-dev-akv,Key vault
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-messagesplitter,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-transformer,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-endpointforavantwebsite,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-upsertcrm,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-nhfs,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-rightmove,App service
High,TLS should be updated to the latest version for function apps,esb-avantdynamics-dev-rg,avantdynamics-dev-azf-endpointforcoins,App service
