Azure Landing Zone Review - Aug 27 - Garic,,,,,,,,,
,,,,,,,,,
Recommendations for your Azure environment,,,,,,,,,
Your overall results,Critical,'56/197',,,,,,,
About your organization,Moderate,'3/10',,,,,,,
Azure Billing and Active Directory,Moderate,'5/11',,,,,,,
Identity and access management,Moderate,'14/37',,,,,,,
Network topology and connectivity,Critical,'26/90',,,,,,,
Resource organization,Critical,'2/11',,,,,,,
Governance,Critical,'1/12',,,,,,,
Management,Critical,'1/8',,,,,,,
Security,Critical,'1/8',,,,,,,
Platform automation and DevOps,Moderate,'3/10',,,,,,,
,,,,,,,,,
,,,,,,,,,
Journey toward the target architecture,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/#azure-landing-zone-accelerator,,,,,,,,
Interactive Guide,https://mslabs.cloudguides.com/en-us/guides/Cloud%20Adoption%20Framework,,,,,,,,
Join the program!,https://azure.microsoft.com/en-us/migration/migration-modernization-program/#program-form,,,,,,,,
,,,,,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
About your organization,Transition existing Azure environments to the Azure landing zone conceptual architecture,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/enterprise-scale/transition,High,,,0,,N,
Azure Billing and Active Directory,Plan for the Cloud Solution Provider service,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/azure-billing-cloud-solution-provider,High,,,0,,N,
Azure Billing and Active Directory,"Work with your CSP partner to ensure that Azure Lighthouse is used for administer on behalf of (AOBO) access for most support scenarios. For more information, see Azure Lighthouse and the Cloud Solution Provider program.",https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/azure-billing-cloud-solution-provider#design-recommendations,High,,,0,,N,
Azure Billing and Active Directory,Work with your CSP partner to understand how to create support cases and escalation processes.,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/azure-billing-cloud-solution-provider#design-recommendations,High,,,0,,N,
Azure Billing and Active Directory,Discuss how to create self-service subscriptions with your CSP partner.,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/azure-billing-cloud-solution-provider#design-recommendations,High,,,0,,N,
Identity and access management,Manage emergency access accounts in Microsoft Entra ID,https://docs.microsoft.com/en-us/azure/active-directory/roles/security-emergency-access,High,,,0,,N,
Identity and access management,How it works: Microsoft Entra multifactor authentication,https://docs.microsoft.com/en-us/azure/active-directory/authentication/concept-mfa-howitworks,High,,,0,,N,
Identity and access management,Define central and federated responsibilities recommendations,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/platform-automation-devops#define-central-and-federated-responsibilities-recommendations,High,,,0,,N,
Identity and access management,Microsoft Entra activity logs in Azure Monitor,https://docs.microsoft.com/en-us/azure/active-directory/reports-monitoring/concept-activity-logs-azure-monitor,High,,,0,,N,
Network topology and connectivity,Virtual WAN network topology,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,High,,,0,,N,
Network topology and connectivity,Connectivity to Azure,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/connectivity-to-azure,High,,,0,,N,
Network topology and connectivity,About zone-redundant virtual network gateways in Azure Availability Zones,https://docs.microsoft.com/en-us/azure/vpn-gateway/about-zone-redundant-vnet-gateways,High,,,0,,N,
Network topology and connectivity,Limit cross-tenant private endpoint connections in Azure,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/limit-cross-tenant-private-endpoint-connections,High,,,0,,N,
Network topology and connectivity,Private Link and DNS integration at scale,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/private-link-and-dns-integration-at-scale,High,,,0,,N,
Resource organization,Management Group and Subscription organization,https://docs.microsoft.com/en-gb/azure/cloud-adoption-framework/ready/landing-zone/design-area/resource-org-management-groups,High,,,0,,N,
Governance,Azure governance,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/governance,High,,,0,,N,
Governance,How to optimize your cloud investment with Cost Management,https://docs.microsoft.com/en-us/azure/cost-management-billing/costs/cost-mgt-best-practices?bc=/azure/cloud-adoption-framework/_bread/toc.json&toc=/azure/cloud-adoption-framework/toc.json,High,,,0,,N,
Management,Operational compliance considerations,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/management-operational-compliance,High,,,0,,N,
Management,Inventory and visibility considerations,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/management-platform,High,,,0,,N,
Security,Meet your security requirements,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/security,High,,,0,,N,
Security,Service enablement framework,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/service-enablement-framework,High,,,0,,N,
Platform automation and DevOps,Platform automation and DevOps,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/enterprise-scale/platform-automation-and-devops#define-central-and-federated-responsibilities,High,,,0,,N,
-----------,,,,,,,,,
,,,,,,,,,
Category,Question,Answers,Selected Answer,Note,,,,,
About your organization,Which of the following options best describes your current Azure environment? ,We have an Azure tenant with nothing deployed in it.,,"Design Decision: 
Business Justifications:
Mitigations:
TIEVA Input: There are multiple Subscriptions.
Customer Input:",,,,,
About your organization,Which of the following options best describes your current Azure environment? ,We have an Azure tenant and have deployed resources in a single subscription.,,"Design Decision: 
Business Justifications:
Mitigations:
TIEVA Input: There are multiple Subscriptions.
Customer Input:",,,,,
About your organization,Which of the following options best describes your current Azure environment? ,We have an Azure tenant and have deployed resources in multiple subscriptions.,We have an Azure tenant and have deployed resources in multiple subscriptions.,"Design Decision: 
Business Justifications:
Mitigations:
TIEVA Input: There are multiple Subscriptions.
Customer Input:",,,,,
About your organization,Which of the following options best describes your current Azure environment? ,We have an Azure tenant and have deployed resources in multiple subscriptions that we organize using management groups.,,"Design Decision: 
Business Justifications:
Mitigations:
TIEVA Input: There are multiple Subscriptions.
Customer Input:",,,,,
About your organization,Which of the following options best describes your current Azure environment? ,We have a mature Azure environment containing many subscriptions and management groups. We want to deploy a greenfield management group hierarchy to plan our migration to the Azure Landing Zone conceptual architecture.,,"Design Decision: 
Business Justifications:
Mitigations:
TIEVA Input: There are multiple Subscriptions.
Customer Input:",,,,,
About your organization,What is your organization's current operating model?,"Decentralized operations - If you limit the scope of operations to one workload or a small collection of workloads, complexity can be controlled. As such, decentralized operations are the least complex of the common operating models. ",,,,,,,
About your organization,What is your organization's current operating model?,Centralized operations - Central operations tend to be the norm for technology environments that consist primarily of stable-state workloads. Examples of a stable-state of operations include things like commercial-off-the-shelf (COTS) applications or well-established custom applications that have a slow-release cadence.,Centralized operations - Central operations tend to be the norm for technology environments that consist primarily of stable-state workloads. Examples of a stable-state of operations include things like commercial-off-the-shelf (COTS) applications or well-established custom applications that have a slow-release cadence.,,,,,,
About your organization,What is your organization's current operating model?,Enterprise operations - Enterprise operations are the suggested target state for all cloud operations. Enterprise operations balance the need for control and innovation by democratizing decisions and responsibilities.,,,,,,,
About your organization,What is your organization's current operating model?,"Distributed operations - The existing operating model might be too engrained for the entire organization to shift to a new operating model. For others, global operations and various compliance requirements might prevent specific business units from making a change. A distributing operations approach might be required for those companies. This approach is by far the most complex approach. It requires an integration of one or more of the previously mentioned operating models.",,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,None,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Azure Policy,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Github,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Azure DevOps,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,HashiCorp Terraform,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Azure Resource Manager ,Azure Resource Manager ,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Azure Blueprints,,,,,,,
About your organization,Which of the following options best describes your organization's infrastructure as code capabilities?,Azure Bicep,,,,,,,
Azure Billing and Active Directory,Select an Azure Billing Arrangement for your organization.,Enterprise Agreement,,,,,,,
Azure Billing and Active Directory,Select an Azure Billing Arrangement for your organization.,Microsoft Customer Agreement,,,,,,,
Azure Billing and Active Directory,Select an Azure Billing Arrangement for your organization.,Cloud Service Provider,Cloud Service Provider,,,,,,
Azure Billing and Active Directory,Select an Azure Billing Arrangement for your organization.,Pay-as-You-Go,,,,,,,
Azure Billing and Active Directory,Which option best describes your current Azure identity services infrastructure?,No Microsoft Entra tenant.,,,,,,,
Azure Billing and Active Directory,Which option best describes your current Azure identity services infrastructure?,"One Microsoft Entra tenant. No identity synchronization from on-premises Active Directory Domain Services (AD DS), but AD DS are in use on-premises. Users have two accounts: one for on-premises, and one for Microsoft Entra ID federated resources (like Microsoft 365).",,,,,,,
Azure Billing and Active Directory,Which option best describes your current Azure identity services infrastructure?,"Multiple Microsoft Entra tenants, with one tenant for each environment (prod, test, dev).",,,,,,,
Azure Billing and Active Directory,Which option best describes your current Azure identity services infrastructure?,Multiple Microsoft Entra tenants due to acquisitions of or mergers between multiple organizations.,,,,,,,
Azure Billing and Active Directory,Which option best describes your current Azure identity services infrastructure?,One Microsoft Entra tenant with identity synchronization from on-premises Active Directory Domain Services via Microsoft Entra Connect. Users have a single account across on-premises and Microsoft Entra ID federated resources (such as Microsoft 365).,One Microsoft Entra tenant with identity synchronization from on-premises Active Directory Domain Services via Microsoft Entra Connect. Users have a single account across on-premises and Microsoft Entra ID federated resources (such as Microsoft 365).,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Username & password,,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Username & Password + MFA (Microsoft Entra multifactor authentication or 3rd party MFA),,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Microsoft Entra Conditional Access policies,,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Username & Password + MFA (Microsoft Entra multifactor authentication or 3rd party MFA) + Microsoft Entra Conditional Access policies,Username & Password + MFA (Microsoft Entra multifactor authentication or 3rd party MFA) + Microsoft Entra Conditional Access policies,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Microsoft Entra Privileged Identity Management (PIM),Microsoft Entra Privileged Identity Management (PIM),,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Microsoft Entra Security Defaults,,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Microsoft Entra ID Protection,,,,,,,
Identity and access management,Which services/features do you use to authenticate and authorize access to Azure resources?,Microsoft Defender for Identity,,,,,,,
Identity and access management,Which users do you apply those selected services/features to?,All users,All users,,,,,,
Identity and access management,Which users do you apply those selected services/features to?,IT Administrators only,,,,,,,
